Date,DOM,BDOM,xGD,BEXT,xGE,EXT
2022-12-28,Ajaccio,1.0,1.6,0.0,1.9,Angers
2022-12-28,Troyes,0.0,0.2,0.0,1.5,Nantes
2022-12-28,Auxerre,2.0,1.3,3.0,1.3,Monaco
2022-12-28,Clermont Foot,0.0,0.7,2.0,1.6,Lille
2022-12-28,Brest,2.0,1.3,4.0,3.1,Lyon
2022-12-28,Paris S-G,2.0,2.1,1.0,1.3,Strasbourg
2022-12-29,Lorient,0.0,1.0,2.0,1.7,Montpellier
2022-12-29,Reims,3.0,1.4,1.0,1.6,Rennes
2022-12-29,Marseille,6.0,2.6,1.0,1.8,Toulouse
2022-12-29,Nice,0.0,1.0,0.0,1.0,Lens
2023-01-01,Toulouse,2.0,1.1,0.0,0.0,Ajaccio
2023-01-01,Monaco,1.0,1.4,0.0,0.8,Brest
2023-01-01,Angers,1.0,2.3,2.0,0.6,Lorient
2023-01-01,Nantes,1.0,1.0,0.0,0.8,Auxerre
2023-01-01,Lyon,0.0,0.7,1.0,1.2,Clermont Foot
2023-01-01,Lens,3.0,1.8,1.0,1.6,Paris S-G
2023-01-02,Strasbourg,2.0,1.1,3.0,1.2,Troyes
2023-01-02,Lille,1.0,2.3,1.0,0.8,Reims
2023-01-02,Montpellier,1.0,1.4,2.0,1.4,Marseille
2023-01-02,Rennes,2.0,1.9,1.0,0.4,Nice
2023-01-11,Clermont Foot,2.0,1.7,1.0,1.1,Rennes
2023-01-11,Ajaccio,0.0,1.0,1.0,0.9,Reims
2023-01-11,Auxerre,0.0,1.1,5.0,2.2,Toulouse
2023-01-11,Brest,0.0,0.3,0.0,0.7,Lille
2023-01-11,Nantes,0.0,1.1,0.0,0.5,Lyon
2023-01-11,Troyes,0.0,0.2,2.0,1.9,Marseille
2023-01-11,Nice,6.0,2.5,1.0,0.2,Montpellier
2023-01-11,Paris S-G,2.0,1.3,0.0,0.5,Angers
2023-01-11,Lorient,2.0,1.3,2.0,1.8,Monaco
2023-01-11,Strasbourg,2.0,0.8,2.0,1.9,Lens
